Category,Name,Integration,Type,Area,Entity_ID,IP_MAC,Status,AL_Instance,Smart_Bulb_Mode,Battery,Trigger,Timeout,Conflict,Notes
DEVICE,Aqara Hub M3,Matter,Hub,Entry Room,N/A,TBD,Online,N/A,N/A,N/A,N/A,N/A,None,Bridge for Aqara via Matter
DEVICE,Hue Bridge,Hue,Hub,Smart Home AV,N/A,192.168.1.68,Online,N/A,N/A,N/A,N/A,N/A,Time-based vs AL,Zigbee Ch25 - 52 lights 9 switches
DEVICE,Sonoff ZHA Dongle,ZHA,Coordinator,Smart Home AV,N/A,N/A,Online,N/A,N/A,N/A,N/A,N/A,None,49 devices
DEVICE,Govee Floor Lamp East,Govee/Matter,Light,Living Room,light.floor_lamp_basic,98:88:E0:F2:32:48,Online,Living Spaces,N/A,N/A,N/A,N/A,None,H6076 - needs rename
DEVICE,Govee Floor Lamp West,Govee/Matter,Light,Living Room,light.floor_lamp_basic_2,DC:1E:D5:CE:C1:C0,Online,Living Spaces,N/A,N/A,N/A,N/A,None,H6076 - needs rename
DEVICE,Nest Thermostat Master,Nest,Climate,Master Bedroom,climate.master_nest,TBD,Online,N/A,N/A,N/A,N/A,N/A,None,Primary HVAC
DEVICE,Nest Thermostat 1st Floor,Nest,Climate,Living Room,climate.first_floor,TBD,Online,N/A,N/A,N/A,N/A,N/A,None,1st floor zone
DEVICE,Nest Thermostat Basement,Nest,Climate,Basement,climate.basement,TBD,Online,N/A,N/A,N/A,N/A,N/A,None,Basement zone
DEVICE,Nest Thermostat Garage,Nest,Climate,Garage,climate.garage,TBD,Online,N/A,N/A,N/A,N/A,N/A,None,Garage heat
LIGHT,Entry Room Lamp,Hue,Color Bulb,Entry Room,light.entry_room_hue_color_lamp,N/A,Online,Living Spaces,N/A,N/A,N/A,N/A,None,Main entry lamp
LIGHT,Kitchen Lounge Lamp,Hue,Color Bulb,Kitchen Lounge,light.kitchen_lounge_lamp,N/A,Online,Living Spaces,N/A,N/A,N/A,N/A,None,Floor lamp
LIGHT,Entry Room Ceiling,Hue,White Ambiance,Entry Room,light.entry_room_ceiling,N/A,Online,Entry Room Ceiling,ON,N/A,N/A,N/A,None,4 bulbs via Inovelli
LIGHT,Kitchen Chandelier,Hue,White Ambiance,Kitchen,light.kitchen_chandelier,N/A,Online,Kitchen Chandelier,ON,N/A,N/A,N/A,None,Via Inovelli
LIGHT,Kitchen Above Sink,Hue,White Ambiance,Kitchen,light.kitchen_above_sink,N/A,Online,TBD,ON,N/A,N/A,N/A,None,Via Inovelli
LIGHT,1st Floor Bathroom,Hue,White Ambiance,1st Floor Bathroom,light.1st_floor_bathroom,N/A,Online,TBD,ON,N/A,N/A,N/A,None,Via Inovelli
LIGHT,Master Bedroom,Hue,Color,Master Bedroom,light.master_bedroom,N/A,Online,Bedroom Test,N/A,N/A,N/A,N/A,None,Hue group
LIGHT,Upstairs Hallway,Hue,White Ambiance,Upstairs Hallway,light.upstairs_hallway,N/A,Online,TBD,N/A,N/A,N/A,N/A,MotionAware conflict,Hue group
LIGHT,Garage,Hue,White,Garage,light.garage,N/A,Online,TBD,N/A,N/A,N/A,N/A,None,Hue group
